angle,Velocidade,Tempo
358,-2.47,0.14
358,-2.47,0.14
0,-2.48,0.18
0,-2.48,0.18
0,-2.48,0.18
1,-3.44,0.21
1,-3.44,0.21
3,-3.81,0.24
3,-3.81,0.24
4,-4.02,0.27
4,-4.02,0.27
5,-4.56,0.30
5,-4.56,0.30
5,-4.56,0.30
6,-5.09,0.33
6,-5.09,0.33
7,-5.39,0.36
7,-5.39,0.36
7,-5.58,0.39
7,-5.58,0.39
7,-5.58,0.39
8,-5.67,0.43
8,-5.67,0.43
9,-5.77,0.46
9,-5.77,0.46
10,-6.02,0.49
10,-6.02,0.49
11,-6.20,0.52
11,-6.20,0.52
11,-6.20,0.52
13,-6.46,0.55
13,-6.46,0.55
14,-6.47,0.58
14,-6.47,0.58
15,-6.97,0.62
15,-6.97,0.62
16,-7.47,0.65
16,-7.47,0.65
18,-8.17,0.68
18,-8.17,0.68
18,-8.17,0.68
19,-8.55,0.70
19,-8.55,0.70
21,-8.92,0.74
21,-8.92,0.74
23,-9.67,0.77
23,-9.67,0.77
25,-9.86,0.81
25,-9.86,0.81
26,-9.36,0.84
26,-9.36,0.84
26,-9.36,0.84
28,-9.40,0.87
28,-9.40,0.87
30,-9.55,0.90
30,-9.55,0.90
31,-9.98,0.94
31,-9.98,0.94
34,-10.51,0.97
34,-10.51,0.97
36,-10.83,1.00
36,-10.83,1.00
36,-10.83,1.00
0,0.00,0.00
0,0.00,0.00
40,-10.98,1.07
40,-10.98,1.07
42,-11.52,1.10
42,-11.52,1.10
44,-12.23,1.13
44,-12.23,1.13
47,-12.92,1.16
47,-12.92,1.16
49,-13.24,1.20
49,-13.24,1.20
49,-13.24,1.20
0,0.00,0.00
0,0.00,0.00
54,-12.45,1.26
54,-12.45,1.26
58,-13.12,1.30
58,-13.12,1.30
60,-13.59,1.33
60,-13.59,1.33
62,-13.45,1.36
62,-13.45,1.36
62,-13.45,1.36
0,0.00,0.00
0,0.00,0.00
67,-13.43,1.43
67,-13.43,1.43
70,-13.90,1.46
70,-13.90,1.46
73,-14.47,1.50
73,-14.47,1.50
76,-14.45,1.53
76,-14.45,1.53
76,-14.45,1.53
0,0.00,0.00
0,0.00,0.00
81,-14.75,1.59
81,-14.75,1.59
86,-15.60,1.63
86,-15.60,1.63
88,-15.46,1.66
88,-15.46,1.66
91,-14.47,1.69
91,-14.47,1.69
94,-15.01,1.73
94,-15.01,1.73
94,-15.01,1.73
0,0.00,0.00
0,0.00,0.00
100,-16.83,1.79
100,-16.83,1.79
104,-16.00,1.83
104,-16.00,1.83
107,-15.66,1.86
107,-15.66,1.86
109,-16.56,1.89
109,-16.56,1.89
115,-16.99,1.93
115,-16.99,1.93
117,-15.56,1.96
117,-15.56,1.96
