angle,Velocidade,Tempo
56,0.00,7.22
56,0.00,7.22
56,0.00,7.25
56,0.00,7.25
56,0.00,7.25
56,-0.03,7.28
56,-0.03,7.28
56,0.00,7.32
56,0.00,7.32
56,0.00,7.35
56,0.00,7.35
56,0.01,7.38
56,0.01,7.38
56,0.01,7.38
56,-0.01,7.41
56,-0.01,7.41
56,0.00,7.44
56,0.00,7.44
56,-0.01,7.47
56,-0.01,7.47
56,0.01,7.50
56,0.01,7.50
56,0.01,7.50
56,0.01,7.53
56,0.01,7.53
56,0.00,7.57
56,0.00,7.57
56,0.03,7.60
56,0.03,7.60
56,0.01,7.63
56,0.01,7.63
56,0.01,7.63
56,0.01,7.66
56,0.01,7.66
56,0.01,7.69
56,0.01,7.69
56,-0.01,7.72
56,-0.01,7.72
56,-0.01,7.72
0,0.00,0.00
0,0.00,0.00
56,-0.03,7.78
56,-0.03,7.78
56,0.02,7.82
56,0.02,7.82
56,0.01,7.85
56,0.01,7.85
56,0.01,7.85
56,-0.01,7.88
56,-0.01,7.88
56,-0.02,7.91
56,-0.02,7.91
56,0.01,7.94
56,0.01,7.94
56,0.01,7.97
56,0.01,7.97
56,0.01,7.97
56,0.00,8.00
56,0.00,8.00
56,-0.01,8.03
56,-0.01,8.03
56,-0.01,8.07
56,-0.01,8.07
56,0.00,8.10
56,0.00,8.10
56,0.00,8.10
56,0.00,8.13
56,0.00,8.13
56,0.00,8.16
56,0.00,8.16
56,-0.01,8.19
56,-0.01,8.19
56,-0.01,8.19
0,0.00,0.00
0,0.00,0.00
56,0.01,8.25
56,0.01,8.25
56,0.00,8.28
56,0.00,8.28
56,0.00,8.32
56,0.00,8.32
56,0.00,8.32
56,0.00,8.35
56,0.00,8.35
56,0.00,8.38
56,0.00,8.38
56,0.02,8.41
56,0.02,8.41
56,0.02,8.41
56,0.00,8.44
56,0.00,8.44
56,0.01,8.47
56,0.01,8.47
56,-0.01,8.50
56,-0.01,8.50
56,0.01,8.53
56,0.01,8.53
56,0.01,8.53
56,0.00,8.51
56,0.00,8.51
56,0.00,8.60
56,0.00,8.60
56,0.01,8.63
56,0.01,8.63
56,0.01,8.63
56,0.01,8.66
56,0.01,8.66
56,0.02,8.69
56,0.02,8.69
56,-0.01,8.72
56,-0.01,8.72
56,0.00,8.75
56,0.00,8.75
56,0.00,8.75
56,-0.01,8.78
