320,0.01
320,-1.52
322,49.08
316,51.90
311,44.96
308,46.22
303,43.41
300,45.56
294,43.87
292,44.50
286,46.04
283,43.05
278,45.30
272,43.57
270,44.33
264,46.35
261,44.42
256,45.36
253,45.48
248,44.05
245,45.22
240,43.48
234,45.55
232,45.73
229,43.43
224,45.13
219,43.19
216,44.67
213,45.95
208,43.61
206,45.09
200,45.84
195,44.52
193,45.31
190,43.73
185,44.45
179,45.99
177,43.11
174,45.18
169,45.78
164,44.43
161,45.19
156,43.33
153,44.74
147,45.54
145,44.32
139,45.07
136,46.18
131,44.77
128,45.77
122,43.69
120,44.44
114,46.07
111,43.28
105,45.29
100,43.67
97,44.44
94,44.93
88,43.18
85,44.51
80,45.74
77,43.50
71,45.17
68,43.08
63,44.62
57,45.65
55,43.30
52,45.22
46,45.95
41,44.78
38,45.39
36,43.20
30,44.72
28,45.30
23,42.90
17,45.45
15,45.49
12,43.26
7,45.75
2,42.92
359,45.44
354,45.40
349,44.95
346,45.31
343,42.90
338,45.06
333,45.37
330,43.16
325,45.35
322,45.81
317,45.07
314,45.30
309,43.25
306,44.93
301,45.77
298,42.83
292,45.58
290,45.36
284,44.93
281,45.30
276,42.85
273,44.95
268,45.42
265,43.07
259,45.40
257,45.64
251,45.05
248,45.67
243,43.09
240,45.04
235,45.66
232,45.02
227,45.53
222,43.25
219,45.33
214,45.67
211,42.82
206,45.39
204,45.39
198,44.94
196,45.48
191,42.89
188,45.10
183,45.32
180,44.99
175,45.41
172,45.73
167,45.10
164,45.41
159,43.32
156,44.97
151,45.74
148,42.93
143,45.49
137,43.40
134,45.03
132,45.26
126,43.04
123,45.53
117,45.25
115,43.37
109,45.22
103,43.04
100,45.06
95,45.15
89,44.93
86,45.26
80,42.97
78,45.07
72,45.11
69,45.05
63,45.42
61,45.40
55,45.10
52,45.75
47,43.23
44,45.17
39,45.28
36,42.94
31,45.79
28,44.71
23,45.33
21,45.46
15,43.03
13,45.29
8,44.67
5,43.27
360,45.46
357,44.97
352,45.45
349,44.60
344,43.45
342,45.44
336,44.90
334,43.08
328,45.67
326,44.50
320,45.52
315,44.93
312,45.35
307,45.75
301,43.52
299,45.43
293,44.89
290,43.15
288,45.83
282,44.49
277,45.27
274,45.56
271,43.04
266,45.30
260,44.47
257,43.35
252,45.58
249,44.83
244,45.35
241,45.89
236,43.44
233,45.33
230,44.79
225,43.30
220,45.84
217,44.42
212,45.33
209,45.55
204,43.19
202,45.29
196,44.48
194,43.47
191,45.52
184,43.26
178,45.82
176,44.45
170,45.19
168,45.60
162,43.31
160,45.19
154,44.44
152,43.73
146,45.56
143,44.84
138,45.17
135,45.89
130,43.82
127,45.07
121,44.79
118,43.55
112,45.97
110,44.36
104,45.07
101,45.58
95,43.56
93,44.99
87,44.11
84,43.71
78,45.68
75,44.57
70,45.14
67,46.04
62,43.75
59,45.29
53,44.38
51,45.14
45,46.08
40,43.74
37,45.41
32,44.12
29,43.73
24,45.92
21,43.72
16,45.34
13,45.75
8,43.68
6,45.35
1,43.64
358,45.51
353,45.73
350,43.96
345,45.46
342,45.97
337,44.10
334,45.51
329,43.99
326,43.86
321,45.90
318,43.58
313,45.48
310,45.64
305,43.91
302,45.37
297,43.57
294,44.07
288,45.67
286,43.85
280,45.23
277,43.41
272,44.03
266,45.83
264,43.96
258,45.33
255,46.14
250,44.03
247,45.33
242,43.87
239,43.99
234,46.07
231,43.42
226,45.37
223,43.78
218,44.03
215,45.30
210,43.39
208,44.23
202,45.80
200,43.76
195,45.37
192,45.97
187,44.39
182,45.75
179,43.90
176,44.11
171,46.02
168,44.47
163,45.14
160,45.80
155,44.20
150,46.20
147,43.49
141,45.06
139,45.80
136,44.10
130,45.15
125,43.50
122,44.42
119,45.82
113,43.82
111,45.09
105,46.23
99,44.43
96,45.16
93,45.77
88,44.22
82,46.20
79,43.33
76,45.26
71,45.85
65,44.24
62,45.19
57,43.20
54,44.52
51,45.65
46,43.50
41,45.22
38,45.95
35,44.59
30,45.48
27,43.43
